url_length,domain_length,path_length,query_length,dots,hyphens,underscores,slashes,digits,letters,special_characters,at_symbols,question_marks,equal_symbols,ampersands,percent_symbols,subdomains,https,ip_address,url_depth,entropy,tilde,comma,colon,semicolon,dollar,exclamation,plus,star,parentheses,has_port,path_segments,average_word_length,longest_word,suspicious_tld,label
32,24,0,0,2,0,0,2,0,27,5,0,0,0,0,0,1,1,0,0,3.929,0,0,1,0,0,0,0,0,0,0,0,6.75,16,0,1
24,16,0,0,2,1,0,2,0,18,6,0,0,0,0,0,1,1,0,0,3.97,0,0,1,0,0,0,0,0,0,0,0,3.6,5,0,1
30,22,0,0,3,0,0,2,0,24,6,0,0,0,0,0,2,1,0,0,4.165,0,0,1,0,0,0,0,0,0,0,0,4.8,12,0,1
27,19,0,0,2,0,0,2,0,22,5,0,0,0,0,0,1,1,0,0,4.06,0,0,1,0,0,0,0,0,0,0,0,5.5,11,0,1
34,26,0,0,2,0,0,2,0,29,5,0,0,0,0,0,1,1,0,0,3.918,0,0,1,0,0,0,0,0,0,0,0,7.25,18,0,1
31,23,0,0,2,0,0,2,0,26,5,0,0,0,0,0,1,1,0,0,3.929,0,0,1,0,0,0,0,0,0,0,0,6.5,15,0,1
26,18,0,0,2,0,0,2,0,21,5,0,0,0,0,0,1,1,0,0,3.796,0,0,1,0,0,0,0,0,0,0,0,5.25,10,0,1
26,18,0,0,2,0,0,2,0,21,5,0,0,0,0,0,1,1,0,0,3.979,0,0,1,0,0,0,0,0,0,0,0,5.25,10,0,1
30,22,0,0,2,0,0,2,0,25,5,0,0,0,0,0,1,1,0,0,4.057,0,0,1,0,0,0,0,0,0,0,0,6.25,15,0,1
19,11,0,0,2,0,0,2,0,14,5,0,0,0,0,0,1,1,0,0,3.471,0,0,1,0,0,0,0,0,0,0,0,3.5,5,0,1
34,26,0,0,2,0,0,2,0,29,5,0,0,0,0,0,1,1,0,0,4.175,0,0,1,0,0,0,0,0,0,0,0,7.25,18,0,1
23,16,0,0,2,0,0,2,0,18,5,0,0,0,0,0,1,0,0,0,3.762,0,0,1,0,0,0,0,0,0,0,0,4.5,8,0,0
28,20,0,0,2,0,0,2,0,23,5,0,0,0,0,0,1,1,0,0,3.896,0,0,1,0,0,0,0,0,0,0,0,5.75,12,0,1
21,13,0,0,2,0,0,2,2,14,5,0,0,0,0,0,1,1,0,0,3.69,0,0,1,0,0,0,0,0,0,0,0,3.5,5,0,1
27,19,0,0,2,0,0,2,0,22,5,0,0,0,0,0,1,1,0,0,4.134,0,0,1,0,0,0,0,0,0,0,0,5.5,11,0,1
25,17,0,0,2,0,0,2,0,20,5,0,0,0,0,0,1,1,0,0,3.943,0,0,1,0,0,0,0,0,0,0,0,5.0,9,0,1
21,13,0,0,2,0,0,2,0,16,5,0,0,0,0,0,1,1,0,0,3.654,0,0,1,0,0,0,0,0,0,0,0,4.0,6,0,1
22,14,0,0,2,0,0,2,0,17,5,0,0,0,0,0,1,1,0,0,3.698,0,0,1,0,0,0,0,0,0,0,0,4.25,7,0,1
22,14,0,0,2,0,0,2,0,17,5,0,0,0,0,0,1,1,0,0,3.789,0,0,1,0,0,0,0,0,0,0,0,4.25,6,0,1
